date,dim_median
2026-03-01,147.40317743715127
2026-04-01,149.35410388545742
2026-05-01,144.02319250376428
2026-06-01,143.3368227927009
2026-07-01,140.44751230376835
2026-08-01,135.99029048816425
2026-09-01,133.94382353873453
2026-10-01,141.6288734513133
2026-11-01,152.57455561152824
2026-12-01,157.3266502806656
2027-01-01,145.28846534950756
2027-02-01,141.8089715998363
2027-03-01,126.15248358138132
2027-04-01,124.00826413222612
2027-05-01,124.254097146855
2027-06-01,127.31563238478819
2027-07-01,129.40673573865934
2027-08-01,132.4449638683201
2027-09-01,135.2011877119703
2027-10-01,136.56616463660393
2027-11-01,142.22080949246376
2027-12-01,140.43265641935972
2028-01-01,140.1701286094625
2028-02-01,135.47964210362423
2028-03-01,133.23254332933723
2028-04-01,132.07607215793055
2028-05-01,131.45256030260447
2028-06-01,131.7078239196981
2028-07-01,131.9637452323032
2028-08-01,133.0701162068681
2028-09-01,135.50274470791612
2028-10-01,137.89713902078407
2028-11-01,139.34133594643149
2028-12-01,138.5955649468513
2029-01-01,136.1665250411599
2029-02-01,133.48184194055193
2029-03-01,131.7110271041442
