date,dim_median
2026-03-01,172.36690901302063
2026-04-01,176.90618198534008
2026-05-01,172.0391604010025
2026-06-01,162.9519173078238
2026-07-01,149.60264565526523
2026-08-01,139.70283501826128
2026-09-01,122.16880475179865
2026-10-01,132.25809774141865
2026-11-01,140.80881751090237
2026-12-01,151.82206911869224
2027-01-01,146.96991549295774
2027-02-01,148.4574281840396
2027-03-01,142.3662301061008
2027-04-01,140.92982840923753
2027-05-01,139.24206635755547
2027-06-01,138.13828049370767
2027-07-01,135.78559176016722
2027-08-01,133.9287128134917
2027-09-01,133.71274229837314
2027-10-01,134.81040339445056
2027-11-01,139.0724101828883
2027-12-01,141.33442181934362
2028-01-01,144.56537205705447
2028-02-01,144.9869273552227
2028-03-01,145.39440597100818
2028-04-01,143.50078241083753
2028-05-01,141.1520884487395
2028-06-01,137.56868016023614
2028-07-01,135.7952498543474
2028-08-01,135.3874918322551
2028-09-01,136.54297589065592
2028-10-01,137.66538774814038
2028-11-01,140.03723084168388
2028-12-01,141.31100560308818
2029-01-01,142.89332264957267
2029-02-01,143.1152524228082
2029-03-01,142.86588854952043
