date,dim_median
2026-03-01,164.09817155681705
2026-04-01,168.05235791436286
2026-05-01,172.93656954983447
2026-06-01,160.72304421768706
2026-07-01,143.0950301244442
2026-08-01,128.10269383593874
2026-09-01,133.43091163362942
2026-10-01,141.52693352199245
2026-11-01,160.95378968253968
2026-12-01,169.9599312967734
2027-01-01,162.69229919228536
2027-02-01,159.63475987257317
2027-03-01,152.02409258448733
2027-04-01,147.3016367528702
2027-05-01,149.4549819179449
2027-06-01,149.61719565963415
2027-07-01,148.0133981311365
2027-08-01,145.8211354001507
2027-09-01,144.3061484032266
2027-10-01,147.7675984214813
2027-11-01,150.27597756274227
2027-12-01,155.30702033295094
2028-01-01,158.36856103335163
2028-02-01,158.6951325964484
2028-03-01,159.0757138335043
2028-04-01,156.133602084487
2028-05-01,153.218680919613
2028-06-01,150.83440782026582
2028-07-01,148.8329590774248
2028-08-01,147.62323031458004
2028-09-01,148.0633784885812
2028-10-01,148.81248384767406
2028-11-01,150.27182734561433
2028-12-01,153.07381465920048
2029-01-01,153.5389297282228
2029-02-01,154.3062557392103
2029-03-01,154.9118447460625
