date,actual_dim,actual_milking_count,actual_forced_dim_limit_count,predicted_dim,predicted_milking_count,lower_dim,upper_dim,error,absolute_error
2024-02-01,118.6412213740458,131,0,118.6412213740458,131,118.6412213740458,118.6412213740458,0.0,0.0
2024-03-01,141.6031746031746,126,4,140.74015748031496,127,140.74015748031496,140.74015748031496,-0.8630171228596453,0.8630171228596453
2024-04-01,157.80555555555554,108,10,158.30252100840337,119,156.98333333333332,158.30252100840337,0.49696545284783156,0.49696545284783156
2024-05-01,178.50515463917526,97,12,177.8684210526316,114,177.85087719298247,177.89473684210526,-0.6367335865436701,0.6367335865436701
2024-06-01,203.0,78,11,204.41592920353983,113,204.38938053097345,204.4513274336283,1.4159292035398323,1.4159292035398323
2024-07-01,232.76190476190476,63,10,229.59174311926606,109,227.5090909090909,229.6605504587156,-3.1701616426387034,3.1701616426387034
2024-08-01,258.5952380952381,42,14,200.9406779661017,118,200.82161016949152,202.65811965811966,-57.65456012913637,57.65456012913637
2024-09-01,261.8695652173913,23,13,164.84074074074073,135,163.32554207814513,166.12723880597014,-97.02882447665058,97.02882447665058
2024-10-01,285.5882352941176,17,9,144.28916256157635,144,140.03450704225352,148.8090392321312,-141.29907273254128,141.29907273254128
2024-11-01,298.5,8,13,122.59210526315789,152,117.08074324324325,126.87837476885146,-175.9078947368421,175.9078947368421
2024-12-01,242.25,8,11,100.01661918328585,164,93.96068533664378,105.6939507678238,-142.23338081671415,142.23338081671415
2025-01-01,95.0,13,8,90.98681395233119,199,86.11425252525252,95.98356705351385,-4.01318604766881,4.01318604766881
2025-02-01,37.06666666666667,15,8,96.01426024955437,236,93.3206841563786,98.7841560357047,58.9475935828877,58.9475935828877
2025-03-01,45.958333333333336,24,6,109.24002240674838,271,105.46971326164874,111.65663553919367,63.281689073415045,63.281689073415045
2025-04-01,53.94736842105263,38,2,121.74473369610025,315,119.26016686893203,124.58700961844283,67.79736527504762,67.79736527504762
2025-05-01,59.220338983050844,59,2,138.451118857712,348,135.86158482799175,141.13808586716056,79.23077987466115,79.23077987466115
2025-06-01,70.62337662337663,77,2,146.39080459770116,381,142.8872222720097,150.3852497846684,75.76742797432453,75.76742797432453
2025-07-01,79.51515151515152,99,2,148.94274479301703,406,145.06686859273066,153.2903957192633,69.42759327786551,69.42759327786551
2025-08-01,98.49107142857143,112,2,151.03202352312218,430,147.88446458754515,155.547716319457,52.54095209455075,52.54095209455075
2025-09-01,120.31932773109244,119,1,147.77317964862394,464,143.25975568637458,151.96270202812366,27.453851917531495,27.453851917531495
2025-10-01,128.85611510791367,139,0,145.17548148505847,497,141.59608145828093,150.09995462472347,16.319366377144803,16.319366377144803
2025-11-01,146.65771812080536,149,0,143.13972934296768,536,138.89001256681652,147.68092105263156,-3.5179887778376724,3.5179887778376724
2025-12-01,157.70700636942675,157,4,145.5035100674445,552,142.13618181818183,149.77131411144092,-12.203496301982256,12.203496301982256
2026-01-01,175.73333333333332,150,4,149.64569420482687,555,145.70009914761246,154.62953764334387,-26.087639128506453,26.087639128506453
2026-02-01,190.23239436619718,142,5,155.3955693002029,555,151.0558452935326,159.0116056647053,-34.836825065994276,34.836825065994276
