date,actual_dim,actual_milking_count,actual_forced_dim_limit_count,predicted_dim,predicted_milking_count,lower_dim,upper_dim,error,absolute_error
2025-02-01,115.05684754521964,387,1,115.05684754521964,387,115.05684754521964,115.05684754521964,0.0,0.0
2025-03-01,136.75953079178885,341,8,137.87288732394364,357,136.31450501505321,139.4366572017791,1.1133565321547962,1.1133565321547962
2025-04-01,155.13666666666666,300,15,159.32491741387446,320,157.53993100228263,161.6523229674035,4.188250747207803,4.188250747207803
2025-05-01,176.5820895522388,268,21,179.6738007728943,288,177.39902502092363,182.83124007936507,3.0917112206554975,3.0917112206554975
2025-06-01,195.59656652360516,233,30,196.97992771084338,251,194.13782459016394,200.09327424993901,1.383361187238222,1.383361187238222
2025-07-01,218.15238095238095,210,33,210.65509875128657,217,206.66624411603723,214.87481523955148,-7.497282201094379,7.497282201094379
2025-08-01,242.2722222222222,180,34,228.40609253321117,179,223.75067781221625,233.29773158530273,-13.866129689011046,13.866129689011046
2025-09-01,262.29333333333335,150,47,236.7264492753623,138,229.48296271711473,242.96359075706903,-25.566884057971038,25.566884057971038
2025-10-01,285.97435897435895,117,53,237.66464646464647,95,229.3126991565136,246.58896226415095,-48.30971250971248,48.30971250971248
2025-11-01,307.97872340425533,94,64,216.7109375,66,197.14056277056278,231.46261446886447,-91.26778590425533,91.26778590425533
2025-12-01,140.7753623188406,138,83,59.81202697639566,170,47.638359788359786,74.67584850993377,-80.96333534244494,80.96333534244494
2026-01-01,57.72527472527472,182,86,43.75188674710378,276,39.58715243372845,49.073694948642185,-13.97338797817094,13.97338797817094
2026-02-01,44.03879310344828,232,74,52.285992371848636,369,49.31320754716981,55.2167805806616,8.247199268400358,8.247199268400358
