date,actual_dim,actual_milking_count,actual_forced_dim_limit_count,predicted_dim,predicted_milking_count,lower_dim,upper_dim,error,absolute_error
2025-02-01,117.51183431952663,338,5,117.51183431952663,338,117.51183431952663,117.51183431952663,0.0,0.0
2025-03-01,131.56993006993008,286,11,133.6356209150327,305,131.3176137646338,135.82538234791525,2.0656908451026084,2.0656908451026084
2025-04-01,157.61666666666667,240,12,153.58276311502118,276,150.27294003941785,156.951876895696,-4.033903551645494,4.033903551645494
2025-05-01,176.70506912442397,217,19,168.2785777255363,242,164.38318727490997,172.21977043978384,-8.426491398887663,8.426491398887663
2025-06-01,198.0331491712707,181,20,187.8859666534339,218,183.33238404689092,192.76396396396396,-10.147182517836796,10.147182517836796
2025-07-01,214.68027210884352,147,31,198.39247311827955,191,193.37307692307692,202.98203883495145,-16.28779899056397,16.28779899056397
2025-08-01,237.11904761904762,126,35,208.49617834394905,166,203.46338501077764,213.84519216104928,-28.622869275098566,28.622869275098566
2025-09-01,258.51851851851853,108,42,219.8997773981467,142,214.6009656084656,227.06183112642844,-38.61874112037182,38.61874112037182
2025-10-01,283.2959183673469,98,42,220.70144279777307,116,212.6415350623008,230.37362653419052,-62.59447556957386,62.59447556957386
2025-11-01,310.6190476190476,84,51,220.73603723404256,89,207.50823848238483,231.7818344155844,-89.88301038500504,89.88301038500504
2025-12-01,177.4431818181818,88,83,100.17375886524823,141,86.03514084507043,110.18208439897698,-77.26942295293358,77.26942295293358
2026-01-01,89.74489795918367,98,94,64.46894966495248,193,58.5966442061537,74.47804138795986,-25.2759482942312,25.2759482942312
2026-02-01,40.67407407407408,135,63,62.36597672742251,240,57.85903361344538,68.40672514619882,21.691902653348436,21.691902653348436
