date,actual_dim,actual_milking_count,actual_forced_dim_limit_count,predicted_dim,predicted_milking_count,lower_dim,upper_dim,error,absolute_error
2025-08-01,99.71255060728745,741,5,99.71255060728745,741,99.71255060728745,99.71255060728745,0.0,0.0
2025-09-01,127.69119769119769,693,13,126.85043216953491,687,125.45367849238103,127.91271402050546,-0.8407655216627745,0.8407655216627745
2025-10-01,155.35400907715584,661,15,153.25111954828662,643,151.6582371366315,154.8686364808923,-2.1028895288692127,2.1028895288692127
2025-11-01,182.96518987341773,632,24,179.06662930751068,586,177.40568407472148,181.04967724662242,-3.8985605659070472,3.8985605659070472
2025-12-01,203.61590524534688,591,56,198.68805012405483,512,196.85122232568747,200.67924944096964,-4.927855121292055,4.927855121292055
2026-01-01,226.26315789473685,532,67,219.94783887468031,440,217.22435673701298,222.40054282747147,-6.315319020056535,6.315319020056535
2026-02-01,244.05,440,66,234.30902315873027,362,231.41794264667192,236.83364324324324,-9.740976841269742,9.740976841269742
