date,actual_dim,actual_milking_count,actual_forced_dim_limit_count,predicted_dim,predicted_milking_count,lower_dim,upper_dim,error,absolute_error
2024-02-01,142.44477611940297,335,2,142.44477611940297,335,142.44477611940297,142.44477611940297,0.0,0.0
2024-03-01,162.95924764890282,319,15,161.89398734177217,314,161.17053240168192,162.7991052291018,-1.065260307130643,1.065260307130643
2024-04-01,182.0,267,32,178.63095568691236,277,177.0248188405797,180.26752368321334,-3.3690443130876417,3.3690443130876417
2024-05-01,201.24675324675326,231,39,197.35376016260165,245,194.9003584057345,199.62543956043956,-3.8929930841516125,3.8929930841516125
2024-06-01,222.65853658536585,205,48,214.48610462140934,213,212.07215077907057,217.24083504730564,-8.172431963956512,8.172431963956512
2024-07-01,242.50967741935483,155,49,225.0782770033096,169,220.3298098995696,228.181444917429,-17.43140041604522,17.43140041604522
2024-08-01,264.703125,128,60,199.98490460157126,162,192.6787998420845,205.18366925064598,-64.71822039842874,64.71822039842874
2024-09-01,280.26190476190476,84,72,154.82299783549783,165,145.60623825859676,163.82871565228558,-125.43890692640693,125.43890692640693
2024-10-01,294.5869565217391,46,64,124.94865670422996,158,115.57007951829381,134.1433734939759,-169.63829981750916,169.63829981750916
2024-11-01,310.0,24,67,113.70000485625485,143,103.48804347826086,121.42162162162161,-196.29999514374515,196.29999514374515
2024-12-01,224.16666666666666,18,68,65.88108570173787,257,61.110165575664226,71.81663809523809,-158.28558096492878,158.28558096492878
2025-01-01,79.94444444444444,18,67,63.077297034516285,368,59.64212513947301,65.66496652011124,-16.867147409928158,16.867147409928158
2025-02-01,39.54545454545455,22,28,72.67714390674419,463,70.24303191489362,75.1468302974169,33.131689361289645,33.131689361289645
2025-03-01,41.775,40,28,83.8752147403402,532,81.66013965942363,86.31005836778654,42.1002147403402,42.1002147403402
2025-04-01,34.601941747572816,103,6,96.18891898615217,596,93.79947022767075,99.56257492997199,61.58697723857936,61.58697723857936
2025-05-01,39.18652849740933,193,6,106.98090667851255,660,103.81042482563127,109.85231102142868,67.79437818110323,67.79437818110323
2025-06-01,55.57034220532319,263,6,116.83509020326193,704,114.02378235379135,119.7193294566003,61.264747997938734,61.264747997938734
2025-07-01,69.03374233128834,326,6,123.13029786389549,738,120.34238746661455,126.30477042409552,54.096555532607155,54.096555532607155
2025-08-01,85.7023498694517,383,5,125.89775505545454,798,122.841645486832,128.55515492471267,40.195405186002844,40.195405186002844
2025-09-01,100.07912087912088,455,4,125.24107922781272,845,121.43814218009479,128.82769236399417,25.16195834869184,25.16195834869184
2025-10-01,111.20566037735848,530,4,128.05528464876062,866,124.21725649928776,131.48910989578133,16.849624271402135,16.849624271402135
2025-11-01,122.34094616639479,613,5,123.78743951031396,915,119.9177660312961,126.67110770306866,1.4464933439191725,1.4464933439191725
2025-12-01,132.9753979739508,691,10,119.92289262685,964,117.106268713608,123.06755702280913,-13.052505347100805,13.052505347100805
2026-01-01,153.6053748231966,707,8,122.18127138363249,991,120.04309085989698,126.06565736094801,-31.424103439564107,31.424103439564107
2026-02-01,169.96302003081664,649,12,126.49802592748841,1002,123.48644843394457,128.8867160322701,-43.46499410332822,43.46499410332822
